name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"40.776676,-73.971321",2018-01-01T00:00:00,8.9,-4.3,-3.9,55.25,0,,,0,0.13,19.7,9.2,300,1026.3,0,9.9,,,,,Clear,clear-night,"72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T01:00:00,8.9,-4.3,-3.9,55.26,0,,,0,0.11,20.8,9.2,300,1026.4,0,9.9,,,,,Clear,clear-night,"72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T02:00:00,8.9,-5.1,-3.9,55.26,0,,,0,0.1,18.6,10.3,290,1026.7,0,9.9,,,,,Clear,clear-night,"72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T03:00:00,8,-6.3,-3.9,57.53,0,,,0,0.08,19.7,10.3,310,1027.1,0,9.9,,,,,Clear,clear-night,"72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T04:00:00,8,-3.4,-5,54.68,0,,,0,0.07,20.8,7,310,1027.2,0,9.9,,,,,Clear,clear-night,"72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T05:00:00,8,-5.4,-5,54.68,0,,,0,0.05,20.8,9.2,300,1027.9,0,9.9,,,,,Clear,clear-night,"72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T06:00:00,7.1,-3.3,-5,56.98,0,,,0,0.03,23,5.9,320,1027.8,0,9.9,,,,,Clear,clear-night,"72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T07:00:00,7.1,-5.6,-5,56.98,0,,,0,0.02,26.7,8.1,300,1028,0.1,9.9,48,0.2,0,,Clear,clear-night,"D1574,72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T08:00:00,7.1,-3.3,-3.9,59.96,0,,,0,0,17.5,5.9,313,1028,0,9.9,17,0.1,0,,Clear,clear-day,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T09:00:00,8,-2.2,-3,60.13,0,,,0,0,30.4,5.9,290,1028.5,0.1,9.9,115,0.4,1,,Clear,clear-day,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T10:00:00,11,-0.8,-3,52.48,0,,,0,0,31.3,8.1,320,1029,0.1,9.9,259,0.9,3,,Clear,clear-day,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T11:00:00,11.9,-0.6,-3.9,48.25,0,,,0,0,20,9.2,310,1028.5,0.1,9.9,454,1.6,5,,Clear,clear-day,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T12:00:00,14.1,2.9,-3.9,43.9,0,,,0,0,28.7,8.1,300,1028,0.1,9.9,493,1.8,5,,Clear,clear-day,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T13:00:00,15.2,2.7,-5,39.77,0,,,0,0,21,10.3,300,1027.3,0.1,9.9,472,1.7,5,,Clear,clear-day,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T14:00:00,17,5.7,-5,36.75,0,,,0,0,17.6,9.2,300,1026.9,0.1,9.9,392,1.4,4,,Clear,clear-day,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T15:00:00,17.9,12.6,-5,35.36,0,,,0,0,19.7,3.4,313,1027.2,0.1,9.9,251,0.9,3,,Clear,clear-day,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T16:00:00,17.9,6.8,-5.9,33.85,0,,,0,0,18.4,9.2,310,1026.9,0.1,9.9,72,0.3,1,,Clear,clear-day,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T17:00:00,17.9,8.5,-5,35.34,0,,,0,0,22.3,7,300,1027,0.1,9.9,10,0,0,,Clear,clear-night,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T18:00:00,17.9,6.8,-5.9,33.85,0,,,0,0,20.8,9.2,290,1027.5,0.1,9.9,20,0.1,0,,Clear,clear-night,"WALN4,72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T19:00:00,17,11.6,-3.9,38.66,0,,,0,0,21.9,3.4,307,1028,0.1,9.9,,,,,Clear,clear-night,"72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T20:00:00,17,6.5,-3.9,38.67,0,,,0,0,18.5,8.1,280,1028.4,0.1,9.9,,,,,Clear,clear-night,"72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T21:00:00,17,9.8,-2.1,42.18,0,,,0,0,,4.7,263,1027.6,0.1,9.9,,,,,Clear,clear-night,"72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T22:00:00,17,4.9,-0.1,46.31,0,,,0,0,19.9,10.3,270,1027.5,0.1,9.9,,,,,Clear,clear-night,"72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.776676,-73.971321",2018-01-01T23:00:00,16.1,3.1,2,53.25,0,,,0,0,23.1,11.4,270,1027.6,0.1,9.9,,,,,Clear,clear-night,"72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.776676,-73.971321",2018-01-02T00:00:00,15.2,9.6,2.9,57.72,0,,,0,0,22.8,3.4,280,1027.6,0.1,9.9,,,,,Clear,clear-night,"72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.776676,-73.971321",2018-01-02T01:00:00,15.2,2.7,2,55.37,0,,,0,0,23,10.3,280,1027.8,0.1,9.9,,,,,Clear,clear-night,"72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.776676,-73.971321",2018-01-02T02:00:00,15.2,0,1.1,53.06,0,,,0,0,22.2,15,290,1028.3,0.1,9.9,,,,,Clear,clear-night,"72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.776676,-73.971321",2018-01-02T03:00:00,14.1,-0.2,1.1,55.65,0,,,0,0,22.2,12.8,290,1028.6,0,9.9,,,,,Clear,clear-night,"72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.776676,-73.971321",2018-01-02T04:00:00,14.1,0.6,1.1,55.65,0,,,0,0,19.7,11.4,280,1028.6,0,9.9,,,,,Clear,clear-night,"72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.776676,-73.971321",2018-01-02T05:00:00,12.8,4.9,1.1,58.78,0,,,0,0,25.9,4.7,263,1028.5,0,9.9,,,,,Clear,clear-night,"72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.776676,-73.971321",2018-01-02T06:00:00,12.3,1.8,1.4,61,0,,,0,0,21.7,7,270,1028.6,0,9.9,7,0,0,,Clear,clear-night,"D1574,72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.776676,-73.971321",2018-01-02T07:00:00,12.8,1.4,1.1,58.8,0,,,0,0,21.9,8.1,250,1029.4,89.5,9.9,131,0.5,1,,Partially cloudy,partly-cloudy-night,"D1574,72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
